FileName,Standard Industrial Classification
276892.txt,['2111']
271892.txt,['1000']
285649.txt,['1400']
280104.txt,['2834']
281757.txt,['6282']
272606.txt,['2834']
269548.txt,['2870']
273645.txt,['5130']
268931.txt,['6221']
265912.txt,['7389']
279528.txt,"['6798', '7011']"
272536.txt,['6022']
277797.txt,['5051']
282362.txt,['2834']
279128.txt,['5990']
269127.txt,['4832']
278704.txt,"['5900', '5900', '5900', '5900']"
275330.txt,['5051']
266467.txt,['6221']
266742.txt,['3826']
281526.txt,['6189']
279026.txt,['2090']
268949.txt,['3540']
268407.txt,['6221']
284850.txt,['5065']
265892.txt,['6282']
270489.txt,['6798']
270793.txt,['2890']
284324.txt,['3571']
270976.txt,['3580']
269893.txt,"['6221', '6211', '6211', '6211', '6211', '6211', '6211', '6211']"
282066.txt,['6189']
267957.txt,['3826']
270846.txt,['8731']
269845.txt,['6500']
273544.txt,['6189']
274515.txt,['3669']
272399.txt,['1311']
268471.txt,['1311']
279376.txt,"['6798', '6798']"
266674.txt,['6035']
282295.txt,['4700']
273456.txt,['6189']
282105.txt,"['1400', '1540']"
284133.txt,['7900']
278297.txt,['6798']
269065.txt,['5211']
274026.txt,['8071']
275306.txt,['6189']
284721.txt,['2835']
277816.txt,['6331']
270127.txt,['2834']
277691.txt,['3721']
276285.txt,['5944']
278834.txt,['2020']
273866.txt,['6035']
265361.txt,['5180']
285527.txt,['4610']
272503.txt,['6189']
274293.txt,['6189']
279800.txt,['2834']
278077.txt,['2836']
279635.txt,['2834']
282485.txt,['2890']
265135.txt,['5900']
282652.txt,['7372']
275261.txt,['5990']
283711.txt,['6189']
276933.txt,['3827']
284711.txt,['2320']
281294.txt,['6022']
277868.txt,['3674']
268449.txt,['2834']
284087.txt,['6036']
266793.txt,['6331']
285293.txt,['4941']
271855.txt,['3640']
277454.txt,['5812']
271824.txt,['1531']
277203.txt,['6021']
277991.txt,['6798']
272768.txt,['3841']
279842.txt,['3679']
278222.txt,['2911']
285335.txt,['6798']
278630.txt,['3241']
277436.txt,['2834']
275245.txt,['3720']
280979.txt,['1600']
269198.txt,['6282']
277118.txt,['6331']
280011.txt,['2836']
275162.txt,['2834']
266322.txt,['6099']
283259.txt,"['4924', '4924', '4924', '4924']"
277844.txt,['7372']
280792.txt,['2834']
285096.txt,['3841']
270519.txt,['6798']
271572.txt,['6189']
272469.txt,['2890']
271180.txt,['3585']
281148.txt,['3711']
265616.txt,['3674']
277566.txt,['3845']
280685.txt,['2836']
271724.txt,['6189']
282240.txt,['6798']
276879.txt,['6022']
280809.txt,['1000']
282886.txt,['2844']
266689.txt,['3672']
273618.txt,['2834']
285523.txt,['5661']
271812.txt,['6500']
270052.txt,['6022']
284583.txt,['2086']
274902.txt,['7819']
268239.txt,['7389']
274006.txt,['6770']
269745.txt,['7389']
267309.txt,['2860']
267215.txt,['2834']
271262.txt,['8742']
271723.txt,['6189']
281268.txt,['2834']
275586.txt,['6021']
285448.txt,['2834']
277386.txt,['6022']
277798.txt,['5051']
280504.txt,['2870']
276162.txt,['6792']
273765.txt,['6770']
273055.txt,['5621']
267852.txt,['1389']
276153.txt,['3531']
282557.txt,[]
278642.txt,['6035']
283131.txt,['6798']
277265.txt,['8711']
284851.txt,['3711']
270829.txt,['7011']
276805.txt,['6022']
281436.txt,"['6189', '6189']"
277177.txt,['2851']
269753.txt,['3560']
284957.txt,['3990']
270413.txt,['1311']
273254.txt,['2834']
267185.txt,['1311']
281565.txt,['6798']
265779.txt,['6798']
276664.txt,['6022']
279406.txt,['6221']
276535.txt,['3674']
282580.txt,['6189']
278510.txt,['6798']
269148.txt,['8731']
273504.txt,['7330']
268868.txt,"['6189', '6189']"
265430.txt,['5030']
270367.txt,['5900']
275478.txt,['6141']
280020.txt,['1040']
282269.txt,['4953']
269310.txt,['6798']
267586.txt,['3674']
284632.txt,['6022']
280662.txt,['7373']
267920.txt,['6798']
271490.txt,['2834']
274782.txt,['6189']
271620.txt,['2834']
268469.txt,['1623']
270257.txt,['6798']
281971.txt,['6021']
269257.txt,['6035']
267252.txt,"['6189', '6189']"
271012.txt,['5990']
283049.txt,['6189']
269171.txt,['6282']
271739.txt,['4841']
270055.txt,['6798']
273986.txt,['6189']
281802.txt,['6798']
270268.txt,['6189']
268967.txt,['7372']
267334.txt,['2836']
284777.txt,['6311']
279160.txt,['2890']
274632.txt,['4700']
266368.txt,['4210']
274114.txt,['6189']
271074.txt,['2040']
274863.txt,['6770']
282526.txt,['7374']
282880.txt,['7370']
269537.txt,['3751']
269217.txt,['6221']
267371.txt,['4610']
272218.txt,['6770']
275508.txt,['6153']
271914.txt,['6189']
273737.txt,['5160']
282055.txt,['3669']
281438.txt,"['6189', '6189']"
271141.txt,['7372']
270066.txt,['2834']
273526.txt,['6199']
284896.txt,['2834']
284195.txt,['3661']
273896.txt,['6189']
270129.txt,['3621']
274298.txt,['6189']
281764.txt,['5900']
270105.txt,['2870']
271455.txt,['7380']
267006.txt,['3714']
271294.txt,['6221']
285696.txt,['6021']
282974.txt,['3841']
268681.txt,['1000']
269583.txt,['3089']
274871.txt,['4610']
268148.txt,['7374']
265534.txt,['7389']
274133.txt,['6798']
280896.txt,"['6221', '6211', '6211', '6211', '6211', '6211', '6211', '6211']"
267674.txt,['6189']
283921.txt,['6189']
271302.txt,['6798']
281205.txt,['1382']
272474.txt,['6189']
272529.txt,['1000']
279358.txt,['3674']
281157.txt,['2834']
268722.txt,['6221']
274842.txt,['6189']
285585.txt,['6798']
274421.txt,['1389']
267817.txt,['6798']
281885.txt,['6189']
270828.txt,['7011']
277959.txt,['3841']
279689.txt,['7310']
271377.txt,['2834']
277908.txt,['1389']
267979.txt,['3826']
283288.txt,['5940']
283992.txt,['6189']
268768.txt,['3089']
278328.txt,['3845']
275528.txt,"['4931', '4931', '4911', '4931', '4911', '4931', '4911', '4931', '4911']"
275370.txt,['7948']
284260.txt,['3580']
265460.txt,['3440']
276594.txt,['6798']
279096.txt,['3490']
268899.txt,['3433']
278613.txt,['3640']
276640.txt,['8200']
282461.txt,['6189']
280786.txt,['7370']
267938.txt,['2834']
284056.txt,['6770']
283398.txt,['2836']
267156.txt,['1000']
273426.txt,['5960']
275688.txt,['1389']
283623.txt,['2834']
273239.txt,['4911']
271658.txt,['2834']
277561.txt,['6500']
268490.txt,['2860']
272400.txt,['6798']
267091.txt,['6770']
276514.txt,['2810']
272143.txt,[]
284153.txt,['3841']
265288.txt,['6022']
285878.txt,['3743']
281907.txt,['5411']
265728.txt,['8071']
277344.txt,['1531']
274636.txt,['6512']
275907.txt,['2891']
266654.txt,['2834']
279445.txt,['4931']
268196.txt,['2611']
265819.txt,['4832']
266867.txt,['2834']
283656.txt,['2836']
274579.txt,['2390']
276495.txt,['6211']
273434.txt,"['6189', '6189']"
271291.txt,['6189']
283801.txt,['6189']
266563.txt,['2834']
265942.txt,['6021']
270036.txt,['1000']
280123.txt,['6035']
280977.txt,['7372']
268166.txt,['3672']
270258.txt,['1311']
281717.txt,['1311']
265250.txt,['2844']
273364.txt,['5020']
266347.txt,['8093']
274108.txt,['6189']
275888.txt,['6159']
265223.txt,['7372']
274727.txt,['6189']
266921.txt,['6021']
267321.txt,['2860']
274674.txt,['7310']
273745.txt,['7359']
271935.txt,[]
270724.txt,['6189']
277941.txt,['2834']
273388.txt,['7374']
265726.txt,['3826']
269051.txt,['7359']
281127.txt,[]
265143.txt,['2033']
278157.txt,['2834']
267193.txt,['2834']
279444.txt,['5040']
267685.txt,['6770']
278221.txt,['2911']
284868.txt,['3490']
269130.txt,['3533']
278424.txt,['6021']
265656.txt,['6022']
271267.txt,['2834']
266435.txt,['7389']
280969.txt,['6022']
274472.txt,['6189']
275637.txt,['2834']
267472.txt,"['6189', '6189']"
276859.txt,['6021']
274218.txt,[]
277510.txt,['5810']
279148.txt,"['4512', '4512']"
269292.txt,['4700']
272663.txt,['6770']
283620.txt,['6189']
283903.txt,['6770']
275667.txt,['5084']
266638.txt,['3826']
265316.txt,['5940']
270229.txt,['6022']
279834.txt,['3559']
278506.txt,['5190']
281523.txt,['6035']
281339.txt,['7380']
284638.txt,['6795']
274465.txt,['5090']
275522.txt,['5700']
271529.txt,[]
269718.txt,['7372']
283573.txt,['7374']
271561.txt,['6411']
276461.txt,['6022']
284084.txt,['6189']
273996.txt,['8742']
276253.txt,['6513']
283543.txt,['6189']
285818.txt,['6331']
274175.txt,['2834']
282320.txt,['5200']
279326.txt,"['6798', '6798']"
275731.txt,['3679']
284584.txt,['6021']
267031.txt,['3841']
269633.txt,['6282']
278554.txt,['3086']
284064.txt,['6770']
278624.txt,['6770']
267390.txt,['6221']
267401.txt,['6552']
276937.txt,['5331']
279068.txt,['3537']
276101.txt,['1311']
268679.txt,[]
282623.txt,['0200']
285729.txt,['3571']
278465.txt,['7374']
283540.txt,['5500']
281508.txt,['3272']
269093.txt,['1311']
275362.txt,['2834']
269951.txt,['7372']
284041.txt,['2834']
277937.txt,['6331']
277000.txt,['7373']
268292.txt,['6022']
268180.txt,['6111']
278748.txt,['3713']
273015.txt,['5812']
280712.txt,['7389']
